"거래일시","거래번호","원거래번호","거래구분","거래금액","통화","결제수단","주문번호","가맹점ID","판매채널","PG수수료","정산예정일","정산예정금액"
"2026-08-31T23:55:00+09:00","0000202609000000000001","","승인","100000","KRW","카드","ORDER-0000202609000000000001","000001001","예약웹","3000","2026-09-03","97000"
"2026-09-01T00:05:00+09:00","0000202609000000000002","","승인","24000","KRW","카드","ORDER-0000202609000000000002","000001001","매장","720","2026-09-04","23280"
"2026-09-01T10:15:00+09:00","0000202609000000000100","","승인","24000","KRW","카드","ORDER-0000202609000000000100","000001001","매장","720","2026-09-04","23280"
"2026-09-01T11:15:00+09:00","0000202609000000000101","","승인","28000","KRW","카드","ORDER-0000202609000000000101","000001001","예약웹","840","2026-09-04","27160"
"2026-09-01T12:15:00+09:00","0000202609000000000102","","승인","32000","KRW","간편결제","ORDER-0000202609000000000102","000001001","매장","960","2026-09-04","31040"
"2026-09-01T13:15:00+09:00","0000202609000000000103","","승인","36000","KRW","카드","ORDER-0000202609000000000103","000001001","예약웹","1080","2026-09-04","34920"
"2026-09-01T14:15:00+09:00","0000202609000000000104","","승인","40000","KRW","카드","ORDER-0000202609000000000104","000001001","매장","1200","2026-09-04","38800"
"2026-09-01T15:15:00+09:00","0000202609000000000105","","승인","12000","KRW","간편결제","ORDER-0000202609000000000105","000001001","예약웹","360","2026-09-04","11640"
"2026-09-02T10:15:00+09:00","0000202609000000000200","","승인","36000","KRW","카드","ORDER-0000202609000000000200","000001001","매장","1080","2026-09-05","34920"
"2026-09-02T11:15:00+09:00","0000202609000000000201","","승인","40000","KRW","간편결제","ORDER-0000202609000000000201","000001001","예약웹","1200","2026-09-05","38800"
"2026-09-02T12:15:00+09:00","0000202609000000000202","","승인","12000","KRW","카드","ORDER-0000202609000000000202","000001001","매장","360","2026-09-05","11640"
"2026-09-02T13:15:00+09:00","0000202609000000000203","","승인","16000","KRW","카드","ORDER-0000202609000000000203","000001001","예약웹","480","2026-09-05","15520"
"2026-09-02T14:15:00+09:00","0000202609000000000204","","승인","20000","KRW","간편결제","ORDER-0000202609000000000204","000001001","매장","600","2026-09-05","19400"
"2026-09-02T15:15:00+09:00","0000202609000000000205","","승인","24000","KRW","카드","ORDER-0000202609000000000205","000001001","예약웹","720","2026-09-05","23280"
"2026-09-03T10:15:00+09:00","0000202609000000000300","","승인","16000","KRW","간편결제","ORDER-0000202609000000000300","000001001","매장","480","2026-09-06","15520"
"2026-09-03T11:15:00+09:00","0000202609000000000301","","승인","20000","KRW","카드","ORDER-0000202609000000000301","000001001","예약웹","600","2026-09-06","19400"
"2026-09-03T12:15:00+09:00","0000202609000000000302","","승인","24000","KRW","카드","ORDER-0000202609000000000302","000001001","매장","720","2026-09-06","23280"
"2026-09-03T13:15:00+09:00","0000202609000000000303","","승인","28000","KRW","간편결제","ORDER-0000202609000000000303","000001001","예약웹","840","2026-09-06","27160"
"2026-09-03T14:15:00+09:00","0000202609000000000304","","승인","32000","KRW","카드","ORDER-0000202609000000000304","000001001","매장","960","2026-09-06","31040"
"2026-09-03T15:15:00+09:00","0000202609000000000305","","승인","36000","KRW","카드","ORDER-0000202609000000000305","000001001","예약웹","1080","2026-09-06","34920"
"2026-09-04T10:15:00+09:00","0000202609000000000400","","승인","28000","KRW","카드","ORDER-0000202609000000000400","000001001","매장","840","2026-09-07","27160"
"2026-09-04T11:15:00+09:00","0000202609000000000401","","승인","32000","KRW","카드","ORDER-0000202609000000000401","000001001","예약웹","960","2026-09-07","31040"
"2026-09-04T12:15:00+09:00","0000202609000000000402","","승인","36000","KRW","간편결제","ORDER-0000202609000000000402","000001001","매장","1080","2026-09-07","34920"
"2026-09-04T13:15:00+09:00","0000202609000000000403","","승인","40000","KRW","카드","ORDER-0000202609000000000403","000001001","예약웹","1200","2026-09-07","38800"
"2026-09-04T14:15:00+09:00","0000202609000000000404","","승인","12000","KRW","카드","ORDER-0000202609000000000404","000001001","매장","360","2026-09-07","11640"
"2026-09-04T15:15:00+09:00","0000202609000000000405","","승인","16000","KRW","간편결제","ORDER-0000202609000000000405","000001001","예약웹","480","2026-09-07","15520"
"2026-09-05T10:15:00+09:00","0000202609000000000500","","승인","40000","KRW","카드","ORDER-0000202609000000000500","000001001","매장","1200","2026-09-08","38800"
"2026-09-05T11:15:00+09:00","0000202609000000000501","","승인","12000","KRW","간편결제","ORDER-0000202609000000000501","000001001","예약웹","360","2026-09-08","11640"
"2026-09-05T12:15:00+09:00","0000202609000000000502","","승인","16000","KRW","카드","ORDER-0000202609000000000502","000001001","매장","480","2026-09-08","15520"
"2026-09-05T13:15:00+09:00","0000202609000000000503","","승인","20000","KRW","카드","ORDER-0000202609000000000503","000001001","예약웹","600","2026-09-08","19400"
"2026-09-05T14:15:00+09:00","0000202609000000000504","","승인","24000","KRW","간편결제","ORDER-0000202609000000000504","000001001","매장","720","2026-09-08","23280"
"2026-09-05T15:15:00+09:00","0000202609000000000505","","승인","28000","KRW","카드","ORDER-0000202609000000000505","000001001","예약웹","840","2026-09-08","27160"
"2026-09-06T10:15:00+09:00","0000202609000000000600","","승인","20000","KRW","간편결제","ORDER-0000202609000000000600","000001001","매장","600","2026-09-09","19400"
"2026-09-06T11:15:00+09:00","0000202609000000000601","","승인","24000","KRW","카드","ORDER-0000202609000000000601","000001001","예약웹","720","2026-09-09","23280"
"2026-09-06T12:15:00+09:00","0000202609000000000602","","승인","28000","KRW","카드","ORDER-0000202609000000000602","000001001","매장","840","2026-09-09","27160"
"2026-09-06T13:15:00+09:00","0000202609000000000603","","승인","32000","KRW","간편결제","ORDER-0000202609000000000603","000001001","예약웹","960","2026-09-09","31040"
"2026-09-06T14:15:00+09:00","0000202609000000000604","","승인","36000","KRW","카드","ORDER-0000202609000000000604","000001001","매장","1080","2026-09-09","34920"
"2026-09-06T15:15:00+09:00","0000202609000000000605","","승인","40000","KRW","카드","ORDER-0000202609000000000605","000001001","예약웹","1200","2026-09-09","38800"
