"거래일시","거래번호","원거래번호","거래구분","거래금액","통화","결제수단","주문번호","가맹점ID","판매채널","PG수수료","정산예정일","정산예정금액"
"2026-09-05T12:15:00+09:00","0000202609000000000502","","승인","16000","KRW","카드","ORDER-0000202609000000000502","000001001","매장","480","2026-09-08","15520"
"2026-09-05T13:15:00+09:00","0000202609000000000503","","승인","20000","KRW","카드","ORDER-0000202609000000000503","000001001","예약웹","600","2026-09-08","19400"
"2026-09-05T14:15:00+09:00","0000202609000000000504","","승인","24000","KRW","간편결제","ORDER-0000202609000000000504","000001001","매장","720","2026-09-08","23280"
"2026-09-05T15:15:00+09:00","0000202609000000000505","","승인","28000","KRW","카드","ORDER-0000202609000000000505","000001001","예약웹","840","2026-09-08","27160"
"2026-09-06T10:15:00+09:00","0000202609000000000600","","승인","20000","KRW","간편결제","ORDER-0000202609000000000600","000001001","매장","600","2026-09-09","19400"
"2026-09-06T11:15:00+09:00","0000202609000000000601","","승인","24000","KRW","카드","ORDER-0000202609000000000601","000001001","예약웹","720","2026-09-09","23280"
"2026-09-06T12:15:00+09:00","0000202609000000000602","","승인","28000","KRW","카드","ORDER-0000202609000000000602","000001001","매장","840","2026-09-09","27160"
"2026-09-06T13:15:00+09:00","0000202609000000000603","","승인","32000","KRW","간편결제","ORDER-0000202609000000000603","000001001","예약웹","960","2026-09-09","31040"
"2026-09-06T14:15:00+09:00","0000202609000000000604","","승인","36000","KRW","카드","ORDER-0000202609000000000604","000001001","매장","1080","2026-09-09","34920"
"2026-09-06T15:15:00+09:00","0000202609000000000605","","승인","40000","KRW","카드","ORDER-0000202609000000000605","000001001","예약웹","1200","2026-09-09","38800"
"2026-09-02T18:30:00+09:00","0000202609000000088001","0000202609000000000001","부분취소","-20000","KRW","카드","ORDER-0000202609000000088001","000001001","예약웹","-600","2026-09-05","-19400"
"2026-09-03T18:30:00+09:00","0000202609000000088002","0000202609000000000001","부분취소","-30000","KRW","간편결제","ORDER-0000202609000000088002","000001001","매장","-900","2026-09-06","-29100"
"2026-09-07T10:15:00+09:00","0000202609000000000700","","승인","16000","KRW","카드","ORDER-0000202609000000000700","000001001","매장","480","2026-09-10","15520"
"2026-09-07T11:15:00+09:00","0000202609000000000701","","승인","20000","KRW","카드","ORDER-0000202609000000000701","000001001","예약웹","600","2026-09-10","19400"
"2026-09-07T12:15:00+09:00","0000202609000000000702","","승인","24000","KRW","간편결제","ORDER-0000202609000000000702","000001001","매장","720","2026-09-10","23280"
"2026-09-07T13:15:00+09:00","0000202609000000000703","","승인","28000","KRW","카드","ORDER-0000202609000000000703","000001001","예약웹","840","2026-09-10","27160"
"2026-09-07T14:15:00+09:00","0000202609000000000704","","승인","32000","KRW","카드","ORDER-0000202609000000000704","000001001","매장","960","2026-09-10","31040"
"2026-09-07T15:15:00+09:00","0000202609000000000705","","승인","36000","KRW","간편결제","ORDER-0000202609000000000705","000001001","예약웹","1080","2026-09-10","34920"
"2026-09-08T10:15:00+09:00","0000202609000000000800","","승인","20000","KRW","카드","ORDER-0000202609000000000800","000001001","매장","600","2026-09-11","19400"
"2026-09-08T11:15:00+09:00","0000202609000000000801","","승인","24000","KRW","간편결제","ORDER-0000202609000000000801","000001001","예약웹","720","2026-09-11","23280"
"2026-09-08T12:15:00+09:00","0000202609000000000802","","승인","28000","KRW","카드","ORDER-0000202609000000000802","000001001","매장","840","2026-09-11","27160"
"2026-09-08T13:15:00+09:00","0000202609000000000803","","승인","32000","KRW","카드","ORDER-0000202609000000000803","000001001","예약웹","960","2026-09-11","31040"
"2026-09-08T14:15:00+09:00","0000202609000000000804","","승인","36000","KRW","간편결제","ORDER-0000202609000000000804","000001001","매장","1080","2026-09-11","34920"
"2026-09-08T15:15:00+09:00","0000202609000000000805","","승인","40000","KRW","카드","ORDER-0000202609000000000805","000001001","예약웹","1200","2026-09-11","38800"
"2026-09-08T16:00:00+09:00","0000202609000000099001","0000202609000000000700","부분취소","-8000","KRW","카드","ORDER-0000202609000000099001","000001001","예약웹","-240","2026-09-11","-7760"
"2026-09-08T16:05:00+09:00","0000202609000000099002","0000202609000000000700","부분취소","-4000","KRW","카드","ORDER-0000202609000000099002","000001001","매장","-120","2026-09-11","-3880"
