"거래일시","거래번호","원거래번호","거래구분","거래금액","통화","결제수단","주문번호","가맹점ID","판매채널","PG수수료","정산예정일","정산예정금액"
"2026-08-31T23:58:00+09:00","0000202609000000000001","","승인","70000","KRW","카드","ORDER-0000202609000000000001","000002001","예약웹","2100","2026-09-03","67900"
"2026-09-01T12:00:00+09:00","0000202609000000000100","","승인","23000","KRW","카드","ORDER-0000202609000000000100","000002001","매장","690","2026-09-04","22310"
"2026-09-01T13:00:00+09:00","0000202609000000000101","","승인","29000","KRW","카드","ORDER-0000202609000000000101","000002001","예약웹","870","2026-09-04","28130"
"2026-09-01T14:00:00+09:00","0000202609000000000102","","승인","35000","KRW","간편결제","ORDER-0000202609000000000102","000002001","매장","1050","2026-09-04","33950"
"2026-09-02T12:00:00+09:00","0000202609000000000200","","승인","24000","KRW","카드","ORDER-0000202609000000000200","000002001","매장","720","2026-09-05","23280"
"2026-09-02T13:00:00+09:00","0000202609000000000201","","승인","30000","KRW","간편결제","ORDER-0000202609000000000201","000002001","예약웹","900","2026-09-05","29100"
"2026-09-02T14:00:00+09:00","0000202609000000000202","","승인","36000","KRW","카드","ORDER-0000202609000000000202","000002001","매장","1080","2026-09-05","34920"
"2026-09-03T12:00:00+09:00","0000202609000000000300","","승인","25000","KRW","간편결제","ORDER-0000202609000000000300","000002001","매장","750","2026-09-06","24250"
"2026-09-03T13:00:00+09:00","0000202609000000000301","","승인","31000","KRW","카드","ORDER-0000202609000000000301","000002001","예약웹","930","2026-09-06","30070"
"2026-09-03T14:00:00+09:00","0000202609000000000302","","승인","37000","KRW","카드","ORDER-0000202609000000000302","000002001","매장","1110","2026-09-06","35890"
"2026-09-04T12:00:00+09:00","0000202609000000000400","","승인","26000","KRW","카드","ORDER-0000202609000000000400","000002001","매장","780","2026-09-07","25220"
"2026-09-04T13:00:00+09:00","0000202609000000000401","","승인","32000","KRW","카드","ORDER-0000202609000000000401","000002001","예약웹","960","2026-09-07","31040"
"2026-09-04T14:00:00+09:00","0000202609000000000402","","승인","38000","KRW","간편결제","ORDER-0000202609000000000402","000002001","매장","1140","2026-09-07","36860"
"2026-09-05T12:00:00+09:00","0000202609000000000500","","승인","27000","KRW","카드","ORDER-0000202609000000000500","000002001","매장","810","2026-09-08","26190"
"2026-09-05T13:00:00+09:00","0000202609000000000501","","승인","33000","KRW","간편결제","ORDER-0000202609000000000501","000002001","예약웹","990","2026-09-08","32010"
"2026-09-05T14:00:00+09:00","0000202609000000000502","","승인","39000","KRW","카드","ORDER-0000202609000000000502","000002001","매장","1170","2026-09-08","37830"
"2026-09-06T12:00:00+09:00","0000202609000000000600","","승인","28000","KRW","간편결제","ORDER-0000202609000000000600","000002001","매장","840","2026-09-09","27160"
"2026-09-06T13:00:00+09:00","0000202609000000000601","","승인","34000","KRW","카드","ORDER-0000202609000000000601","000002001","예약웹","1020","2026-09-09","32980"
"2026-09-06T14:00:00+09:00","0000202609000000000602","","승인","40000","KRW","카드","ORDER-0000202609000000000602","000002001","매장","1200","2026-09-09","38800"
"2026-09-07T12:00:00+09:00","0000202609000000000700","","승인","29000","KRW","카드","ORDER-0000202609000000000700","000002001","매장","870","2026-09-10","28130"
"2026-09-07T13:00:00+09:00","0000202609000000000701","","승인","35000","KRW","카드","ORDER-0000202609000000000701","000002001","예약웹","1050","2026-09-10","33950"
"2026-09-07T14:00:00+09:00","0000202609000000000702","","승인","41000","KRW","간편결제","ORDER-0000202609000000000702","000002001","매장","1230","2026-09-10","39770"
"2026-09-08T12:00:00+09:00","0000202609000000000800","","승인","30000","KRW","카드","ORDER-0000202609000000000800","000002001","매장","900","2026-09-11","29100"
"2026-09-08T13:00:00+09:00","0000202609000000000801","","승인","36000","KRW","간편결제","ORDER-0000202609000000000801","000002001","예약웹","1080","2026-09-11","34920"
"2026-09-08T14:00:00+09:00","0000202609000000000802","","승인","42000","KRW","카드","ORDER-0000202609000000000802","000002001","매장","1260","2026-09-11","40740"
"2026-09-08T18:00:00+09:00","0000202609000000000901","0000202609000000000100","부분취소","-15000","KRW","카드","ORDER-0000202609000000000901","000002001","예약웹","-450","2026-09-11","-14550"
