date,order_id,product_name,category,region,quantity,unit_price,sales_amount
2025-01-03,O-1001,Americano,Drink,Seoul,18,3.5,63.0
2025-01-05,O-1002,Croissant,Bakery,Seoul,10,2.8,28.0
2025-01-08,O-1003,Latte,Drink,Busan,14,4.2,58.8
2025-01-10,O-1004,Cheesecake,Dessert,Seoul,6,5.5,33.0
2025-01-13,O-1005,Americano,Drink,Incheon,20,3.5,70.0
2025-01-18,O-1006,Latte,Drink,Daegu,12,4.2,50.4
2025-01-22,O-1007,Bagel,Bakery,Seoul,15,3.0,45.0
2025-01-28,O-1008,Macaron,Dessert,Busan,9,2.2,19.8
2025-02-02,O-1009,Americano,Drink,Seoul,24,3.5,84.0
2025-02-06,O-1010,Latte,Drink,Seoul,17,4.2,71.4
2025-02-10,O-1011,Croissant,Bakery,Busan,13,2.8,36.4
2025-02-14,O-1012,Cheesecake,Dessert,Daegu,7,5.5,38.5
2025-02-18,O-1013,Bagel,Bakery,Incheon,18,3.0,54.0
2025-02-21,O-1014,Americano,Drink,Busan,22,3.5,77.0
2025-02-26,O-1015,Macaron,Dessert,Seoul,11,2.2,24.2
2025-03-03,O-1016,Americano,Drink,Seoul,28,3.5,98.0
2025-03-07,O-1017,Latte,Drink,Incheon,19,4.2,79.8
2025-03-11,O-1018,Bagel,Bakery,Busan,16,3.0,48.0
2025-03-16,O-1019,Cheesecake,Dessert,Seoul,8,5.5,44.0
2025-03-20,O-1020,Croissant,Bakery,Daegu,14,2.8,39.2
2025-03-24,O-1021,Americano,Drink,Busan,26,3.5,91.0
2025-03-28,O-1022,Macaron,Dessert,Incheon,12,2.2,26.4
2025-04-02,O-1023,Latte,Drink,Seoul,21,4.2,88.2
2025-04-06,O-1024,Bagel,Bakery,Seoul,19,3.0,57.0
2025-04-10,O-1025,Americano,Drink,Daegu,27,3.5,94.5
2025-04-14,O-1026,Croissant,Bakery,Incheon,15,2.8,42.0
2025-04-19,O-1027,Cheesecake,Dessert,Busan,9,5.5,49.5
2025-04-23,O-1028,Latte,Drink,Busan,20,4.2,84.0
2025-04-27,O-1029,Macaron,Dessert,Seoul,13,2.2,28.6
2025-04-30,O-1030,Americano,Drink,Seoul,30,3.5,105.0
