주문번호,결제수단,거래일시,승인금액,비고
000900719925474099301,카드,2026-08-31 23:59:00,12500.15,승인
000900719925474099302,현금,2026-09-01 00:00:00,23000.25,승인
000900719925474099301,카드,2026-09-01 09:00:00,-2500.05,부분취소
000900719925474099304,간편결제,2026-09-02 10:15:00,7800.1,승인
000900719925474099305,카드,2026-09-02 11:00:00,10000.2,승인
000900719925474099305,카드,2026-09-02 12:00:00,-10000.2,전액취소
000900719925474099307,,2026-09-03 13:00:00,3500.35,수단 미제공
000900719925474099308,현금,2026-09-03 14:00:00,0,금액 0
000900719925474099309,카드,2026-09-30 23:59:59,15500.45,승인
000900719925474099310,현금,2026-10-01 00:00:00,900.55,승인
000900719925474099311,간편결제,2026-09-04 09:00:00,4400.4,승인
000900719925474099312,현금,2026-09-04 10:00:00,-1100.1,부분취소
